subj_idx,date,trialnum,stim,response,rt
172,2017-11-17,21,2,1,4.19
172,2017-11-17,22,1,1,6.09
172,2017-11-17,23,1,0,8.01
172,2017-11-17,24,2,1,2
172,2017-11-17,25,2,0,7.56
172,2017-11-17,26,1,1,3.82
172,2017-11-17,27,1,0,14.47
172,2017-11-17,28,1,1,3.08
172,2017-11-17,29,2,0,10.12
172,2017-11-17,30,2,1,7.08
172,2017-11-17,31,2,1,0.9
172,2017-11-17,32,2,1,6.76
172,2017-11-17,33,2,1,0.08
172,2017-11-17,34,1,0,12.89
172,2017-11-17,36,2,1,43.28
172,2017-11-17,37,2,0,14.75
172,2017-11-17,38,1,1,5.61
172,2017-11-17,39,1,1,6.66
172,2017-11-17,41,2,1,45.73
172,2017-11-17,42,1,1,4.3
172,2017-11-17,43,2,1,13.66
172,2017-11-17,46,1,1,90.17
172,2017-11-17,47,1,0,243.42
172,2017-11-17,48,2,1,67.36
172,2017-11-17,49,1,0,6.7
172,2017-11-17,52,1,1,12.76
172,2017-11-20,1,2,1,5.92
172,2017-11-20,2,2,1,10.33
172,2017-11-20,3,1,0,44.29
172,2017-11-20,5,1,1,59.87
172,2017-11-20,6,2,1,4.48
172,2017-11-20,7,2,1,3.88
172,2017-11-20,8,2,1,3.51
172,2017-11-20,9,2,1,3.69
172,2017-11-20,10,1,0,115.43
172,2017-11-20,11,2,1,29.25
172,2017-11-20,12,2,1,3.86
172,2017-11-20,14,1,1,28.23
172,2017-11-20,15,2,1,13.47
172,2017-11-20,16,2,1,5.44
172,2017-11-20,17,2,1,6.48
172,2017-11-20,20,1,1,64.76
172,2017-11-20,22,2,0,34.62
172,2017-11-20,23,1,1,3.85
172,2017-11-20,25,1,0,37.96
172,2017-11-20,26,1,1,10.47
172,2017-11-20,28,1,1,31.04
172,2017-11-20,29,2,0,75.92
172,2017-11-20,30,2,0,1.74
172,2017-11-20,31,1,1,56.64
172,2017-11-20,33,1,1,32
172,2017-11-20,34,2,0,68.44
172,2017-11-20,35,2,0,9
172,2017-11-20,36,1,1,62.23
172,2017-11-20,37,1,1,9.79
172,2017-11-20,38,2,0,55.24
172,2017-11-20,39,2,1,6.32
172,2017-11-20,40,2,1,8.62
172,2017-11-20,42,2,0,30.86
172,2017-11-20,43,1,1,66.73
172,2017-11-20,47,1,0,38.88
172,2017-11-20,48,1,0,3.5
172,2017-11-20,51,1,1,60.77
172,2017-11-21,2,2,1,29.48
172,2017-11-21,3,2,1,7.58
172,2017-11-21,4,1,0,62.35
172,2017-11-21,5,1,0,11.31
172,2017-11-21,6,1,1,56.79
172,2017-11-21,7,2,1,5.29
172,2017-11-21,8,2,1,3.05
172,2017-11-21,9,2,1,5.83
172,2017-11-21,11,2,1,30.33
172,2017-11-21,12,1,1,2.35
