subj_idx,date,trialnum,stim,response,rt
286,2019-02-06,4.0,1.0,1,81.72
286,2019-02-06,5.0,1.0,0,94.3
286,2019-02-06,8.0,1.0,1,86.39
286,2019-02-06,11.0,2.0,1,65.45
286,2019-02-06,13.0,1.0,1,38.61
286,2019-02-06,14.0,2.0,0,202.59
286,2019-02-06,19.0,2.0,1,130.93
286,2019-02-06,20.0,2.0,1,4.46
286,2019-02-06,23.0,2.0,1,58.74
286,2019-02-06,26.0,2.0,0,267.9
286,2019-02-06,27.0,2.0,1,78.55
286,2019-02-06,31.0,1.0,0,99.53
286,2019-02-06,33.0,1.0,0,32.14
286,2019-02-06,35.0,2.0,0,28.19
286,2019-02-06,37.0,2.0,1,245.19
286,2019-02-06,48.0,2.0,0,273.69
286,2019-02-07,2.0,1.0,0,28.24
286,2019-02-07,3.0,2.0,0,5.7
286,2019-02-07,11.0,1.0,1,263.12
286,2019-02-07,21.0,1.0,1,237.21
286,2019-02-07,28.0,1.0,1,169.23
286,2019-02-07,33.0,1.0,0,735.16
286,2019-02-07,35.0,2.0,0,27.26
286,2019-02-07,42.0,1.0,0,165.86
286,2019-02-07,43.0,1.0,1,372.58
287,2019-02-05,1.0,2.0,0,9.26
287,2019-02-05,2.0,1.0,0,1.39
287,2019-02-05,4.0,1.0,0,26.17
287,2019-02-05,5.0,2.0,1,108.98
287,2019-02-05,7.0,2.0,0,48.67
287,2019-02-06,2.0,2.0,0,27.77
287,2019-02-06,3.0,2.0,0,0.97
287,2019-02-06,4.0,2.0,1,81.25
287,2019-02-06,5.0,2.0,1,2.15
287,2019-02-06,14.0,2.0,1,214.81
287,2019-02-07,2.0,1.0,0,28.92
287,2019-02-07,12.0,2.0,0,235.34
287,2019-02-07,22.0,1.0,1,554.92
287,2019-02-07,45.0,2.0,1,576.11
288,2019-02-05,1.0,1.0,0,12.13
288,2019-02-05,2.0,2.0,1,33.71
288,2019-02-05,3.0,2.0,0,27.11
288,2019-02-05,4.0,2.0,1,30.59
288,2019-02-05,8.0,2.0,0,100.3
288,2019-02-05,10.0,2.0,0,39.09
288,2019-02-05,11.0,1.0,1,166.52
288,2019-02-05,14.0,1.0,0,85.18
288,2019-02-05,31.0,1.0,0,430.97
288,2019-02-06,36.0,1.0,1,921.35
288,2019-02-06,40.0,1.0,1,83.74
288,2019-02-06,41.0,2.0,0,1027.24
288,2019-02-06,42.0,1.0,1,29.3
288,2019-02-06,46.0,2.0,1,82.28
288,2019-02-06,48.0,2.0,1,30.26
288,2019-02-07,3.0,2.0,1,55.85
288,2019-02-07,6.0,1.0,0,119.87
288,2019-02-07,18.0,1.0,1,376.1
288,2019-02-07,32.0,2.0,1,349.56
288,2019-02-07,36.0,1.0,1,80.81
288,2019-02-07,42.0,2.0,1,131.73
288,2019-02-07,47.0,1.0,0,1009.75
288,2019-02-07,48.0,2.0,0,6.78
289,2019-02-05,1.0,1.0,0,1.15
